Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_AI_Usage_Hours,Productivity_Gain,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD
156,Education,Small,438,Gemini,2021,132,35.45,8.73,141579,177691
157,Finance,Small,391,Copilot,2022,181,43.39,6.4,135982,194140
158,Retail,Small,378,ChatGPT,2024,116,31.82,8.7,26635,124778
159,Education,Small,151,Gemini,2021,87,48.97,7.84,50339,155454
160,Retail,Small,130,ChatGPT,2025,189,17.07,8.4,88117,171249
161,Education,Small,77,Gemini,2023,70,16.34,7.06,26929,104430
162,Finance,Small,236,Claude,2023,92,30.09,6.77,137338,206707
163,Education,Medium,1084,Claude,2023,38,36.51,9.0,25051,108693
164,Finance,Large,4791,Gemini,2022,78,11.46,7.47,65335,100800
165,IT,Small,491,Claude,2023,108,20.81,6.18,60594,80721
166,Manufacturing,Medium,603,Gemini,2021,167,27.16,6.03,37994,83434
167,Education,Medium,1412,Claude,2023,195,17.18,8.86,18839,65266
168,Retail,Large,4706,Claude,2022,75,13.42,6.33,110353,175291
169,Healthcare,Small,354,Gemini,2025,58,21.36,6.89,13640,63395
170,IT,Medium,601,Claude,2022,56,48.44,8.4,62954,90043
171,Healthcare,Small,256,ChatGPT,2023,120,48.15,9.54,64776,175355
172,Education,Medium,660,ChatGPT,2025,53,46.92,8.41,86583,105814
173,Healthcare,Small,139,Claude,2022,39,12.6,9.41,55983,65384
174,Healthcare,Large,3193,Claude,2021,192,33.87,8.57,26761,42682
175,Manufacturing,Large,2688,Gemini,2024,49,48.31,9.98,70026,127661
176,Retail,Large,4275,ChatGPT,2025,120,28.69,9.24,68158,158544
177,Finance,Small,130,Claude,2023,77,40.39,8.25,18651,100182
178,Retail,Medium,684,Copilot,2022,56,35.53,9.88,125391,238342
179,Finance,Large,3864,Copilot,2024,150,13.63,7.52,11999,83938
180,IT,Medium,656,ChatGPT,2022,20,17.48,7.4,126810,189239
181,Finance,Medium,1159,Gemini,2025,84,38.52,9.62,16306,22608
182,Retail,Large,3513,ChatGPT,2023,183,11.14,7.28,5771,76630
183,Healthcare,Medium,1415,ChatGPT,2024,43,16.5,9.32,16761,120542
184,Finance,Medium,631,ChatGPT,2024,96,28.03,6.53,127865,199457
185,Retail,Small,432,Claude,2021,76,14.82,6.44,108896,125746
186,Finance,Large,2956,Claude,2024,171,15.59,8.35,61230,95214
187,Healthcare,Small,487,Gemini,2023,92,47.47,8.32,77202,143097
188,IT,Small,385,Gemini,2021,86,31.88,6.21,148595,189101
189,Healthcare,Medium,980,Claude,2024,104,17.06,6.34,148933,214848
190,Retail,Small,265,Copilot,2024,22,42.73,7.12,58302,65370
191,IT,Large,4006,ChatGPT,2022,78,47.7,9.5,47632,125740
192,Education,Small,189,Copilot,2021,164,28.56,8.29,107020,171679
193,Healthcare,Small,160,Claude,2023,34,35.58,9.18,61941,79202
194,IT,Medium,1385,ChatGPT,2023,98,24.87,9.41,79171,114228
195,Manufacturing,Medium,1325,Claude,2021,109,40.25,8.06,72531,172429
196,Education,Large,2668,ChatGPT,2021,123,38.05,8.97,32682,107516
197,Education,Large,1713,Copilot,2023,35,35.38,7.93,43209,72688
198,Manufacturing,Large,4393,Gemini,2021,25,15.66,8.69,82524,117505
199,IT,Medium,919,Gemini,2024,27,29.6,8.35,10102,85251
200,Education,Small,238,Gemini,2023,125,34.74,6.53,17925,56808
201,Finance,Large,4658,Gemini,2021,182,34.66,8.56,30025,69308
202,IT,Medium,520,Claude,2025,142,45.17,9.87,60419,125602
203,Finance,Large,4782,Copilot,2021,161,29.16,8.9,78281,90314
204,Healthcare,Small,172,Copilot,2024,196,22.86,9.81,90671,174825
205,Manufacturing,Small,256,Gemini,2023,185,48.56,8.45,5532,44619
206,Retail,Large,4034,Claude,2025,93,20.39,8.56,25288,140010
207,IT,Medium,641,Claude,2024,142,30.8,6.63,107103,191743
208,Finance,Large,3842,ChatGPT,2024,117,13.41,9.99,79454,153059
209,Retail,Small,119,ChatGPT,2024,170,25.87,6.41,15745,46672
210,Retail,Large,1582,Claude,2022,156,18.67,8.8,77841,156440
211,Healthcare,Medium,762,Gemini,2023,56,26.56,8.58,51302,157572
212,Retail,Small,110,Claude,2021,183,34.2,7.2,59392,122524
213,Finance,Large,4135,Copilot,2025,99,28.73,6.18,125127,214334
214,Retail,Medium,878,Claude,2023,98,43.71,9.12,12138,98372
215,IT,Medium,866,ChatGPT,2022,190,48.94,9.85,138324,151475
216,Retail,Large,2956,Copilot,2022,184,28.17,6.66,31906,56838
217,Retail,Medium,1288,Claude,2021,165,13.73,6.5,31203,127393
218,Education,Medium,1464,Claude,2023,52,22.34,7.44,49117,97786
219,Manufacturing,Medium,605,Claude,2022,168,25.96,9.27,8307,104483
220,Healthcare,Small,144,Claude,2023,139,20.61,9.19,72687,165345
221,IT,Large,3303,ChatGPT,2025,146,30.38,7.21,128168,240041
222,Retail,Medium,1432,ChatGPT,2024,191,25.22,6.3,107317,132572
223,Education,Small,71,Copilot,2025,162,18.28,9.79,75207,194198
224,IT,Large,2953,Claude,2023,80,33.22,8.74,9626,74061
225,Healthcare,Large,4517,Claude,2021,190,23.72,8.06,83698,132489
226,IT,Medium,771,ChatGPT,2025,116,25.6,6.73,140611,255113
227,Finance,Small,382,ChatGPT,2023,155,29.17,6.08,143991,252210
228,Manufacturing,Small,369,Copilot,2023,88,23.1,7.74,136056,175437
229,Education,Medium,1468,Gemini,2024,141,18.5,8.62,94888,100304
230,IT,Medium,1261,Gemini,2024,113,38.3,7.63,45102,138971
231,Healthcare,Medium,562,ChatGPT,2025,162,31.53,9.95,84694,105570
232,Healthcare,Large,1921,ChatGPT,2025,71,46.51,7.2,96725,154491
233,Healthcare,Large,3260,Claude,2021,43,35.25,9.45,70534,132628
234,Education,Medium,523,Copilot,2025,39,22.54,7.93,86442,108238
235,Healthcare,Large,2987,Claude,2023,161,24.11,9.66,70417,180766
236,Finance,Medium,1015,Gemini,2023,132,41.15,6.95,48494,114523
237,Retail,Large,3211,Gemini,2024,106,16.06,7.21,28031,88111
238,Retail,Medium,1040,ChatGPT,2021,112,46.04,6.49,19241,102709
239,Healthcare,Medium,1025,Claude,2023,108,45.47,9.69,13770,111164
240,Education,Large,3674,Claude,2021,197,29.44,9.15,61893,103568
241,Healthcare,Large,2713,ChatGPT,2021,48,19.12,8.0,55439,91660
242,IT,Medium,689,Gemini,2025,117,24.18,9.2,125230,163561
243,Healthcare,Large,3487,ChatGPT,2021,149,23.47,8.62,50968,160679
244,Finance,Large,2378,ChatGPT,2023,157,45.63,6.03,21042,54242
245,Manufacturing,Large,2957,Copilot,2024,47,43.45,9.51,140789,195226
246,Manufacturing,Small,363,Claude,2022,20,11.28,8.47,71629,97002
247,IT,Large,1897,Copilot,2021,89,16.58,9.77,5353,46464
248,Education,Medium,816,Copilot,2021,89,34.7,9.42,25682,65241
249,IT,Small,380,Gemini,2021,106,10.83,6.03,126272,222406
250,Manufacturing,Medium,772,ChatGPT,2024,161,19.09,8.64,114788,162944
251,Manufacturing,Large,4820,Claude,2021,44,25.9,9.36,127668,211406
252,Finance,Large,1836,Claude,2021,165,34.55,9.49,45227,116021
253,Finance,Small,303,ChatGPT,2021,57,28.21,6.41,139763,206241
254,Manufacturing,Large,2508,Claude,2021,162,17.23,6.12,64173,153018
255,IT,Large,1732,Claude,2021,39,34.7,8.15,76983,112997
256,Healthcare,Medium,1303,ChatGPT,2024,111,47.49,9.11,94660,204142
257,Finance,Small,354,Claude,2021,98,27.46,8.5,14484,108872
258,Education,Medium,1170,Copilot,2021,27,32.18,8.11,123091,208218
259,Healthcare,Small,287,Claude,2022,180,18.02,9.56,101982,140837
260,Manufacturing,Medium,1255,Copilot,2022,35,30.54,8.39,68451,75605
261,Education,Medium,1356,Gemini,2025,128,14.7,8.82,136071,186960
262,Retail,Medium,1461,Gemini,2023,20,24.26,9.23,13065,19967
263,Retail,Medium,1035,Copilot,2024,36,39.25,9.64,134129,229078
264,Healthcare,Small,361,Claude,2022,113,19.72,7.24,38812,108139
265,Education,Large,1897,Copilot,2022,150,24.13,8.89,17762,105874
266,Retail,Large,2258,Gemini,2024,35,23.23,6.97,71043,99467
267,Education,Medium,991,Claude,2023,130,29.4,8.95,130300,149052
268,Finance,Large,4682,Gemini,2024,86,45.86,6.41,76058,169043
269,Healthcare,Large,2198,Copilot,2024,89,29.03,6.12,145039,199270
270,IT,Medium,746,Gemini,2025,91,35.15,9.51,136779,155114
271,Retail,Medium,1150,Gemini,2025,91,38.08,7.42,79906,187783
272,Finance,Large,4319,Claude,2025,110,38.65,6.01,54809,108667
273,Finance,Small,185,Claude,2023,144,22.45,7.96,131011,230324
274,Healthcare,Medium,592,ChatGPT,2023,164,38.55,7.34,10037,122958
275,Healthcare,Medium,1087,Gemini,2024,179,19.49,8.08,100225,181486
276,Healthcare,Large,3613,Claude,2025,96,19.82,8.62,53378,128282
277,Education,Small,499,ChatGPT,2022,132,31.9,7.46,84461,175347
278,Finance,Medium,1278,Claude,2024,151,33.84,6.74,110694,145082
279,Education,Large,4108,Copilot,2025,106,31.15,8.21,43417,148719
280,Manufacturing,Large,3192,Copilot,2024,146,21.34,9.8,40055,128410
281,Finance,Large,4592,Claude,2021,51,23.06,6.8,59142,103779
282,Finance,Medium,1482,Claude,2025,200,13.39,8.03,141780,164497
283,Finance,Large,4383,Gemini,2021,176,38.0,8.13,41068,64207
284,IT,Medium,699,Gemini,2021,116,36.56,7.65,7332,74266
285,IT,Small,407,Copilot,2023,52,49.45,6.85,6644,76153
286,Education,Large,3698,Copilot,2023,66,11.19,7.08,11376,106175
287,Manufacturing,Medium,1168,Gemini,2022,160,32.79,9.46,87279,170345
288,Healthcare,Medium,608,Claude,2021,139,27.57,6.14,33392,106871
289,Healthcare,Large,4073,Claude,2025,117,29.36,9.34,96380,103822
290,Healthcare,Medium,524,ChatGPT,2021,79,43.76,9.03,140056,188087
291,Education,Large,4558,ChatGPT,2023,134,48.21,8.61,10073,16391
292,Healthcare,Small,167,Claude,2024,20,12.82,8.74,50529,73212
293,Manufacturing,Medium,984,Copilot,2021,189,23.86,6.73,23162,54599
294,Manufacturing,Small,72,Copilot,2021,86,20.37,6.15,77672,181634
295,Retail,Large,3181,Claude,2023,177,14.55,6.87,31955,65294
296,Education,Small,310,ChatGPT,2021,187,40.27,8.66,71909,127300
297,IT,Medium,536,Claude,2022,136,46.66,6.93,30677,63826
298,IT,Medium,616,Gemini,2024,102,13.44,9.52,115066,217648
299,Healthcare,Small,103,Gemini,2023,124,21.79,6.68,21184,102766
300,IT,Medium,1428,ChatGPT,2025,34,11.77,6.33,98735,165663
301,Manufacturing,Small,216,Claude,2021,126,32.92,8.73,98162,155352
302,Manufacturing,Medium,1197,Claude,2021,143,33.45,9.68,75358,109119
303,Retail,Small,137,ChatGPT,2023,64,23.39,6.84,31475,94188
304,IT,Large,4363,Copilot,2025,45,18.64,6.72,141149,240377
305,Retail,Small,398,Gemini,2023,86,11.86,6.62,125332,201945
306,Healthcare,Small,276,Claude,2021,73,49.74,9.79,120179,199574
307,Manufacturing,Medium,1343,Gemini,2025,122,38.95,9.63,90949,164809
308,IT,Small,236,ChatGPT,2022,199,45.99,9.97,69021,174760
309,Retail,Large,1618,Claude,2021,148,48.37,9.9,102996,160900
310,Education,Large,3841,Gemini,2021,137,17.42,8.33,129414,229069
311,IT,Medium,533,Claude,2024,185,22.11,9.53,135451,242569
312,Healthcare,Large,4099,ChatGPT,2021,68,26.26,7.6,23163,114891
313,IT,Large,3901,ChatGPT,2025,196,16.48,7.37,114161,145667
314,Retail,Small,153,ChatGPT,2024,169,27.47,8.41,143232,256421
315,IT,Large,2410,ChatGPT,2023,155,46.7,9.33,24870,47492
316,Retail,Medium,944,Copilot,2022,53,36.6,8.22,6609,46873
317,IT,Large,2896,ChatGPT,2022,108,33.89,8.61,95834,185538
318,Healthcare,Medium,1475,ChatGPT,2024,178,41.79,7.15,67623,102499
319,Retail,Medium,618,Gemini,2022,99,48.53,6.85,65623,120062
320,Education,Small,187,ChatGPT,2023,80,45.69,7.65,147402,247604
321,IT,Large,2745,Copilot,2024,187,39.17,6.57,147386,217870
322,Retail,Small,494,Claude,2024,150,18.2,6.37,16476,135348
323,IT,Small,231,Copilot,2023,97,10.71,7.44,84558,131987
324,Education,Small,224,ChatGPT,2025,135,20.46,8.67,134556,152303
325,Retail,Medium,709,Gemini,2024,119,23.88,9.8,27923,136515
326,Finance,Small,91,Claude,2021,64,32.6,8.64,32290,130405
327,Healthcare,Small,215,Claude,2025,142,46.93,7.92,44822,157629
328,Healthcare,Small,434,ChatGPT,2024,108,12.59,8.46,102773,209520
329,IT,Large,4501,Copilot,2023,100,14.52,6.84,64320,165291
330,Finance,Medium,740,ChatGPT,2025,83,40.29,7.29,26519,35297
331,Finance,Medium,1218,Copilot,2021,154,35.9,8.4,125774,237990
332,Retail,Large,2698,Gemini,2023,200,24.98,9.48,126014,204351
333,Education,Medium,831,Claude,2022,111,12.87,6.76,41320,84394
334,IT,Large,4201,Gemini,2021,75,13.81,8.52,100278,205847
335,Education,Large,4116,Copilot,2024,103,28.35,9.54,136840,253209
336,Manufacturing,Large,4114,Claude,2022,50,25.5,8.55,83201,126831
337,Finance,Large,3569,Claude,2025,84,25.9,8.97,124608,237803
338,IT,Large,3086,Gemini,2025,40,47.23,8.75,141937,199774
339,Education,Large,3082,Claude,2023,41,18.89,7.64,143724,250447
340,Retail,Large,1973,Copilot,2024,70,25.9,6.41,46641,60055
341,Education,Small,367,ChatGPT,2022,96,24.75,6.89,7705,114706
342,IT,Small,365,Gemini,2023,191,19.42,8.29,146324,265516
343,IT,Medium,1295,Gemini,2023,149,21.35,6.18,64869,89398
344,Finance,Large,1940,ChatGPT,2022,115,24.24,9.96,28983,46460
345,Finance,Small,314,Claude,2023,66,26.93,8.65,90659,203670
346,Healthcare,Small,86,Copilot,2021,125,10.15,6.04,148458,216190
347,Finance,Large,4274,Gemini,2021,140,18.52,9.14,103181,181264
348,Retail,Small,440,Claude,2021,64,18.8,6.3,86817,104895
349,IT,Large,4002,Claude,2023,31,39.49,9.32,59253,112353
350,Finance,Medium,1406,ChatGPT,2025,131,12.18,7.87,109112,226158
351,Manufacturing,Small,249,Claude,2024,62,42.52,6.2,67298,165180
352,IT,Small,222,Gemini,2022,173,28.7,9.09,135833,149143
353,IT,Medium,1108,Gemini,2024,38,31.09,6.45,121863,160439
354,Retail,Medium,1241,Claude,2023,160,41.11,7.59,61126,92911
355,Retail,Medium,505,ChatGPT,2021,43,12.16,6.51,124487,165786
356,Manufacturing,Medium,1060,Claude,2021,180,13.03,8.7,89814,119134
357,Education,Small,370,Claude,2022,59,24.97,7.4,130321,224181
358,Healthcare,Medium,833,Gemini,2021,126,32.81,7.57,33618,113374
359,Finance,Small,395,Claude,2023,89,21.69,9.4,83456,165677
360,Retail,Medium,918,Copilot,2021,175,11.54,9.48,147041,243958
361,Manufacturing,Small,490,Gemini,2021,135,24.67,6.15,139310,158624
362,IT,Large,4687,Claude,2023,129,16.52,8.16,71418,92956
363,Retail,Medium,850,ChatGPT,2023,167,30.83,6.54,50307,161836
364,Education,Medium,1083,Claude,2025,124,38.46,8.42,77621,142112
365,Education,Small,229,Copilot,2022,22,25.26,9.29,112393,151005
366,Healthcare,Small,293,Copilot,2025,119,38.16,7.84,89806,206275
367,Retail,Small,149,ChatGPT,2024,158,28.03,9.11,149935,199006
368,Finance,Small,297,Claude,2022,152,49.4,7.9,34694,123025
369,Finance,Small,208,Copilot,2021,41,18.63,8.6,40123,105794
370,Finance,Small,266,ChatGPT,2024,150,10.81,9.14,35301,153755
371,Manufacturing,Small,463,Gemini,2025,91,18.63,8.58,12080,130379
372,Finance,Medium,1082,Copilot,2024,126,32.55,6.02,98022,213922
373,Manufacturing,Large,3146,ChatGPT,2021,134,35.96,6.69,11962,44302
374,IT,Large,3791,ChatGPT,2021,161,37.81,6.23,59115,172978
375,Retail,Medium,1202,Claude,2024,184,25.13,6.95,8267,104732
376,IT,Medium,647,Gemini,2022,72,35.44,6.13,145829,242212
377,Manufacturing,Large,4007,Copilot,2022,101,48.57,6.61,67256,170173
378,Retail,Medium,1375,Copilot,2023,151,17.38,9.52,141061,257725
379,Healthcare,Large,2287,Copilot,2022,121,27.8,6.96,107604,157488
